id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
d63856aa-203e-49fb-89d5-5a303fe01b66,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 20:49:44,60.17178058624268,0.0037913963302832,0.0014942537475022,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
802f91ff-bfd0-480d-9a6d-961a6929cb86,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 20:52:18,160.1745162010193,0.0097714193842844,0.003851082493476,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
72907dba-cb36-496f-b13c-385bc61bf314,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 20:59:09,10.178798913955688,0.0008124931011414,0.0003202173435425,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
21ce454f-e3da-4222-a7a0-cf615d227c33,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 21:00:27,1262.4748871326449,0.0990623093539446,0.0390421401756486,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
ab627a24-ca75-4185-bd5e-5aed24c55bdf,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 21:24:22,40.17061805725098,0.002919509110378,0.0011506281720548,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
c01ce8e1-6461-48af-9b69-a77e078e4ee1,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 21:32:11,10.16984248161316,0.0008071891319593,0.0003181269591204,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
a8fea2d5-f568-438a-9ca5-96dbf330a5cb,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 21:40:18,0.2120592594146728,8.668100335983581e-07,3.4162457001168415e-07,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
de69603f-8811-42b3-b0b8-ce28fdbcf97a,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 21:44:44,0.2148911952972412,4.0076353410375606e-06,1.5794772177037005e-06,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
67eb90e9-0305-4299-8163-a3016c68ca19,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 21:49:03,10.176273584365845,0.0006978003352693,0.0002750149747353,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
9d13d8a9-6edc-466e-92c5-ae278d356503,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 21:54:20,10.169862270355225,0.0008026334875575,0.0003163315022157,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
08474c06-f736-47b4-9812-c29f963a0a02,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 21:54:55,3780.209461450577,0.3025802755618689,0.119252030463617,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
